tag,arm,task,n_ops,seed,position,window_k,natural_window,pr,null_mean,z,ratio,cos_consecutive
untrained_track_n4_ns128_seed1,untrained,track,4,1,mid,10,42,8.245884648697267,9.981593613500841,-394.5190274036067,0.8261090330850677,-0.3401701104804271
untrained_track_n4_ns128_seed1,untrained,track,4,1,mid,15,42,12.068472979280113,14.959828476839263,-687.3168762466355,0.8067253577114515,-0.35249689544316976
untrained_track_n4_ns128_seed1,untrained,track,4,1,mid,20,42,15.54329307502571,19.928054526044242,-524.33151001573,0.7799704208311942,-0.36638829179862364
untrained_track_n4_ns128_seed1,untrained,track,4,1,mid,30,42,21.504446137662615,29.83418867242773,-681.8406793245059,0.7207987578873454,-0.3972057353858516
untrained_track_n4_ns128_seed1,untrained,track,4,1,mid,41,42,26.149444111673024,40.68604824341104,-777.2764243471458,0.6427128030530179,-0.43438241316592735
untrained_local_n4_ns128_seed1,untrained,local,4,1,mid,10,42,8.153133966676261,9.981593613500841,-415.6008502229578,0.8168168613525345,-0.3515633934160774
untrained_local_n4_ns128_seed1,untrained,local,4,1,mid,15,42,11.885488886823973,14.959828476839263,-730.8148324598897,0.7944936604871528,-0.3635605267138851
untrained_local_n4_ns128_seed1,untrained,local,4,1,mid,20,42,15.463165125937195,19.928054526044242,-533.913241886294,0.7759495592371135,-0.37082675998990877
untrained_local_n4_ns128_seed1,untrained,local,4,1,mid,30,42,21.400796408658746,29.83418867242773,-690.3250473996102,0.7173245649021792,-0.3978344111087329
untrained_local_n4_ns128_seed1,untrained,local,4,1,mid,41,42,26.866717481747237,40.68604824341104,-738.9236099402741,0.6603422706725569,-0.4119254277078281
untrained_count_ones_n4_ns128_seed1,untrained,count_ones,4,1,mid,10,41,8.049689065073359,9.981593613500841,-439.1134222023606,0.8064532956125925,-0.3615895898496804
untrained_count_ones_n4_ns128_seed1,untrained,count_ones,4,1,mid,15,41,11.974736756074552,14.959828476839263,-709.5993275671982,0.8004594955492829,-0.3578549313352028
untrained_count_ones_n4_ns128_seed1,untrained,count_ones,4,1,mid,20,41,15.784910579634545,19.928054526044242,-495.43879317058565,0.7920949111718373,-0.35371799162758844
untrained_count_ones_n4_ns128_seed1,untrained,count_ones,4,1,mid,30,41,22.718536040545988,29.83418867242773,-582.4599504858845,0.761493342084482,-0.35827701873518875
untrained_count_ones_n4_ns128_seed1,untrained,count_ones,4,1,mid,41,41,29.80012427905957,40.68604824341104,-582.073500663897,0.7324408627934417,-0.3639667239165821
untrained_track_n8_ns128_seed0,untrained,track,8,0,mid,10,42,8.196159907317929,9.981593613500841,-405.82124281222053,0.8211273895414875,-0.3467850322536916
untrained_track_n8_ns128_seed0,untrained,track,8,0,mid,15,42,12.10143723280118,14.959828476839263,-679.4807980552721,0.8089288758582072,-0.35206165805349243
untrained_track_n8_ns128_seed0,untrained,track,8,0,mid,20,42,15.725765219658735,19.928054526044242,-502.51141872911785,0.7891269666643335,-0.36148038795922205
untrained_track_n8_ns128_seed0,untrained,track,8,0,mid,30,42,22.220294096867043,29.83418867242773,-623.2441192555851,0.7447929736196472,-0.3835446608401749
untrained_track_n8_ns128_seed0,untrained,track,8,0,mid,41,42,28.715781760026097,40.68604824341104,-640.053608557304,0.7057894044717532,-0.40348964692417066
untrained_local_n8_ns128_seed0,untrained,local,8,0,mid,10,42,7.875816606601967,9.981593613500841,-478.6338686593334,0.7890339871129741,-0.3834102867345266
untrained_local_n8_ns128_seed0,untrained,local,8,0,mid,15,42,11.634804286677012,14.959828476839263,-790.4061751507486,0.7777364763700307,-0.38749679673446613
untrained_local_n8_ns128_seed0,untrained,local,8,0,mid,20,42,15.26951271201381,19.928054526044242,-557.0702742003446,0.7662319817550619,-0.39472860559057965
untrained_local_n8_ns128_seed0,untrained,local,8,0,mid,30,42,21.525349596737904,29.83418867242773,-680.12960258034,0.7214994124050466,-0.4243396536817103
untrained_local_n8_ns128_seed0,untrained,local,8,0,mid,41,42,27.346488205593637,40.68604824341104,-713.2701306710973,0.6721342913912094,-0.44980931628501725
untrained_count_ones_n8_ns128_seed0,untrained,count_ones,8,0,mid,10,39,8.124117755530317,9.981593613500841,-422.1961076263387,0.8139098895532922,-0.3549501584030556
untrained_count_ones_n8_ns128_seed0,untrained,count_ones,8,0,mid,15,39,12.193634533131739,14.959828476839263,-657.5641708833217,0.8150918676647843,-0.34328087613682134
untrained_count_ones_n8_ns128_seed0,untrained,count_ones,8,0,mid,20,39,16.162471732128335,19.928054526044242,-450.28988109821677,0.8110411235078359,-0.3414751505171325
untrained_count_ones_n8_ns128_seed0,untrained,count_ones,8,0,mid,30,39,23.629812645216333,29.83418867242773,-507.86635331433905,0.7920380508639279,-0.34246952446384715
untrained_track_n8_ns128_seed1,untrained,track,8,1,mid,10,42,8.313243637969798,9.981593613500841,-379.20862486864235,0.8328573532312038,-0.32728156157025057
untrained_track_n8_ns128_seed1,untrained,track,8,1,mid,15,42,12.283337812938896,14.959828476839263,-636.2404083372836,0.8210881449580724,-0.3297197357656418
untrained_track_n8_ns128_seed1,untrained,track,8,1,mid,20,42,16.12600225904496,19.928054526044242,-454.65091512592704,0.8092110666382245,-0.3385047653743335
untrained_track_n8_ns128_seed1,untrained,track,8,1,mid,30,42,22.659390577540194,29.83418867242773,-587.3013705545746,0.7595108694369033,-0.36057120181708174
untrained_track_n8_ns128_seed1,untrained,track,8,1,mid,41,42,28.639787934867364,40.68604824341104,-644.1170203525579,0.7039215940443535,-0.37880725831420126
untrained_local_n8_ns128_seed1,untrained,local,8,1,mid,10,41,8.05177569096705,9.981593613500841,-438.63914129765413,0.8066623429826305,-0.3635705478020264
untrained_local_n8_ns128_seed1,untrained,local,8,1,mid,15,41,12.108923652779886,14.959828476839263,-677.7011681210151,0.8094293107388808,-0.35308674059177186
untrained_local_n8_ns128_seed1,untrained,local,8,1,mid,20,41,15.97676772917851,19.928054526044242,-472.4964392816794,0.8017224013662878,-0.3524772985472273
