file,family,num_steps,n_ops,floor_frac,window_lo,window_hi,n_steps,ambient,pr,null_mean,null_sd,z,ratio,cos_consecutive
count_ones_n32_ns64_init2.npy,count_ones,64,32,2.0,0,27,27,5280,11.600694068453645,26.864947999780945,0.011039505594107836,-1382.6936180433984,0.43181524373500507,0.49295932261290365
count_ones_n32_ns64_init3.npy,count_ones,64,32,2.0,0,28,28,5280,12.057308875468431,27.854911445816196,0.009169903756845671,-1722.7664530889185,0.432861145472406,0.511548553619026
count_ones_n32_ns64_init4.npy,count_ones,64,32,2.0,0,25,25,5280,11.45036134724327,24.88561808193411,0.010100851373965387,-1330.1113180736202,0.4601196285157065,0.48911204828650184
count_ones_n48_ns128_init0.npy,count_ones,128,48,2.0,0,22,22,5280,13.974769488334836,21.914697148349525,0.008992158692392978,-882.9834894630545,0.6376893731970796,0.19515261534173478
count_ones_n48_ns128_init1.npy,count_ones,128,48,2.0,0,29,29,5280,15.05421320520566,28.84703764432682,0.011883737525528154,-1160.6470110511939,0.5218634020871908,0.2725110395216822
count_ones_n48_ns128_init2.npy,count_ones,128,48,2.0,0,27,27,5280,14.793592896154163,26.864947999780945,0.011039505594107836,-1093.4688153126785,0.5506652347242507,0.16189580496939907
count_ones_n48_ns128_init3.npy,count_ones,128,48,2.0,0,24,24,5280,13.422058256079128,23.89758097448345,0.007304702135578562,-1434.0793811950032,0.561649242674833,0.16189331126594472
count_ones_n48_ns128_init4.npy,count_ones,128,48,2.0,0,26,26,5280,17.369785404157188,25.876184687230182,0.012997908143072164,-654.4437142838922,0.6712653203750367,0.15547046103187348
count_ones_n4_ns128_init0.npy,count_ones,128,4,2.0,0,18,18,5280,14.73176443554711,17.94260572443651,0.006589578150493082,-487.2605219272105,0.8210493315072698,0.19147767361826531
count_ones_n4_ns128_init1.npy,count_ones,128,4,2.0,0,16,16,5280,13.46460062510316,15.954682841261098,0.0037446564568305233,-664.9694691260261,0.8439278147404956,0.1619098941011009
count_ones_n4_ns128_init2.npy,count_ones,128,4,2.0,0,17,17,5280,13.071754518480919,16.94682157817706,0.006116939620915967,-633.4976801873156,0.7713395965243309,0.2012290617821644
count_ones_n4_ns128_init3.npy,count_ones,128,4,2.0,0,17,17,5280,11.524836282601171,16.94682157817706,0.006116939620915967,-886.3885589186161,0.6800588670528079,0.2930031852397245
count_ones_n4_ns128_init4.npy,count_ones,128,4,2.0,0,17,17,5280,13.609260951813233,16.94682157817706,0.006116939620915967,-545.6258902657033,0.8030568380644483,0.1949738040142546
count_ones_n4_ns64_init0.npy,count_ones,64,4,2.0,0,18,18,5280,14.39963899169421,17.94260572443651,0.006589578150493082,-537.6621464724853,0.8025388961249347,0.19099972015603334
count_ones_n4_ns64_init1.npy,count_ones,64,4,2.0,0,19,19,5280,12.518884492956525,18.9365873453091,0.006515418516142088,-985.0023964619586,0.6610950676948482,0.2875578769868079
count_ones_n4_ns64_init2.npy,count_ones,64,4,2.0,0,18,18,5280,12.867939658859688,17.94260572443651,0.006589578150493082,-770.1048458158278,0.7171722912762052,0.2909372345388442
count_ones_n4_ns64_init3.npy,count_ones,64,4,2.0,0,17,17,5280,12.230321725162163,16.94682157817706,0.006116939620915967,-771.055486127005,0.7216882333210801,0.31663307896703996
count_ones_n4_ns64_init4.npy,count_ones,64,4,2.0,0,17,17,5280,12.768442147121219,16.94682157817706,0.006116939620915967,-683.0833210725989,0.7534417051728172,0.25937041465557154
count_ones_n64_ns128_init0.npy,count_ones,128,64,2.0,0,22,22,5280,12.285330776671026,21.914697148349525,0.008992158692392978,-1070.8625927414487,0.5605977893970704,0.13183867404730326
count_ones_n64_ns128_init1.npy,count_ones,128,64,2.0,0,26,26,5280,13.352395866592097,25.876184687230182,0.012997908143072164,-963.5234133665745,0.5160109972928685,0.15338543171085514
count_ones_n64_ns128_init2.npy,count_ones,128,64,2.0,0,28,28,5280,10.163682730462492,27.854911445816196,0.009169903756845671,-1929.2709263329562,0.3648793768464511,0.1301142371294086
count_ones_n64_ns128_init3.npy,count_ones,128,64,2.0,0,29,29,5280,15.864474986518927,28.84703764432682,0.011883737525528154,-1092.4646080342393,0.549951616596545,0.29674505135778617
count_ones_n64_ns128_init4.npy,count_ones,128,64,2.0,0,26,26,5280,15.909841154043031,25.876184687230182,0.012997908143072164,-766.7651920204695,0.6148449373950592,0.15248195147383078
count_ones_n8_ns128_init0.npy,count_ones,128,8,2.0,0,20,20,5280,15.550149030406804,19.928054526044242,0.008362574759024093,-523.5116721573365,0.7803144561895946,0.20779331105449406
count_ones_n8_ns128_init1.npy,count_ones,128,8,2.0,0,18,18,5280,14.714474783885423,17.94260572443651,0.006589578150493082,-489.88430925726783,0.8200857227690953,0.11036647884765137
count_ones_n8_ns128_init2.npy,count_ones,128,8,2.0,0,19,19,5280,15.697984058153057,18.9365873453091,0.006515418516142088,-497.067575802281,0.8289764027646567,0.1329069152586023
count_ones_n8_ns128_init3.npy,count_ones,128,8,2.0,0,17,17,5280,13.347528825000493,16.94682157817706,0.006116939620915967,-588.4139743458185,0.7876125185733066,0.14753225417549728
count_ones_n8_ns128_init4.npy,count_ones,128,8,2.0,0,18,18,5280,12.87354226909223,17.94260572443651,0.006589578150493082,-769.2546229177016,0.7174845430371025,0.20919461617333168
count_ones_n8_ns64_init0.npy,count_ones,64,8,2.0,0,18,18,5280,13.49389597244938,17.94260572443651,0.006589578150493082,-675.1129814970394,0.7520588803928119,0.19713105780413914
count_ones_n8_ns64_init1.npy,count_ones,64,8,2.0,0,20,20,5280,12.27058416183481,19.928054526044242,0.008362574759024093,-915.6833373532739,0.6157442085376783,0.38606921703134534
count_ones_n8_ns64_init2.npy,count_ones,64,8,2.0,0,21,21,5280,12.15660141469358,20.919456212671992,0.0069405654821520675,-1262.5563177110616,0.581114599304436,0.40710557774336087
count_ones_n8_ns64_init3.npy,count_ones,64,8,2.0,0,20,20,5280,12.039975802755013,19.928054526044242,0.008362574759024093,-943.2595762180981,0.6041721627678109,0.4042125842499745
count_ones_n8_ns64_init4.npy,count_ones,64,8,2.0,0,19,19,5280,12.349841087993358,18.9365873453091,0.006515418516142088,-1010.9475302310877,0.6521682530644897,0.3349487497032588
projection_n16_ns128_init0.npy,projection,128,16,2.0,0,21,21,5280,15.768720826913457,20.919456212671992,0.0069405654821520675,-742.1204221765288,0.7537825394027944,0.058402720526345195
projection_n16_ns128_init1.npy,projection,128,16,2.0,0,27,27,5280,8.0970045147767,26.864947999780945,0.011039505594107836,-1700.0710154104495,0.30139661967120585,-0.2969563545783222
projection_n16_ns128_init2.npy,projection,128,16,2.0,0,22,22,5280,13.956871643167753,21.914697148349525,0.008992158692392978,-884.9738730605129,0.6368726680860792,-0.009886860582284747
