file,task,n_ops,num_steps,task_seed,arm,observed,null_mean,null_std,obs_minus_null,z,p_value,pr_real,pr_null
projection_n24_ns128_init1.npy,projection,24,128,1,calibration,0.6434488407407719,0.6456357165680694,0.0018359010870068232,-0.0021868758272974853,-1.19117301186573,0.89,46.83302657072259,46.23821349736179
projection_n24_ns128_init2.npy,projection,24,128,2,real,0.6582038687987868,0.641145884319966,0.0020078236135033798,0.017057984478820787,8.495758474050875,0.0,26.55888326894007,76.60852977203716
projection_n24_ns128_init2.npy,projection,24,128,2,calibration,0.6431548101711189,0.641821021092632,0.0018486541473033827,0.0013337890784869133,0.7214919461449839,0.21,76.86046878837722,76.65660703638699
projection_n24_ns128_init3.npy,projection,24,128,3,real,0.6248045807429037,0.6338302468193803,0.0017318113935260726,-0.00902566607647659,-5.211691128847344,1.0,42.60336388869351,63.82215319179791
projection_n24_ns128_init3.npy,projection,24,128,3,calibration,0.6356382008671332,0.63415586383936,0.0015944228984029441,0.0014823370277732284,0.9297012914566225,0.17,63.30219661233298,63.1863863027633
projection_n24_ns128_init4.npy,projection,24,128,4,real,0.6380701459266841,0.6300582433317199,0.0019302785381371723,0.008011902594964204,4.15064584549344,0.0,34.510549215336795,66.59650833317366
projection_n24_ns128_init4.npy,projection,24,128,4,calibration,0.6296698264362135,0.63010229763218,0.001697535813912311,-0.0004324711959664551,-0.2547641071381809,0.58,66.59457239471622,65.86981087317857
projection_n24_ns64_init0.npy,projection,24,64,0,real,0.6206278172509936,0.6125114855156186,0.0009528539543366409,0.00811633173537496,8.517917880736926,0.0,18.028339006243467,22.977735444644942
projection_n24_ns64_init0.npy,projection,24,64,0,calibration,0.6126261226827544,0.6124551943614741,0.0012387805149629539,0.00017092832128029478,0.13798111870156954,0.38,22.798042510674094,23.078666519078762
projection_n24_ns64_init1.npy,projection,24,64,1,real,0.6161872681102282,0.6052337402011255,0.0010485912596222464,0.010953527909102645,10.445946224126109,0.0,20.798175166148404,24.84901198124421
projection_n24_ns64_init1.npy,projection,24,64,1,calibration,0.6055238707642616,0.6054536550009137,0.000956204062942608,7.02157633478695e-05,0.07343177682365055,0.46,24.80410327255817,24.882501026139035
projection_n24_ns64_init2.npy,projection,24,64,2,real,0.6163011682435372,0.6047528039517126,0.0009588475180761397,0.011548364291824598,12.044004989443557,0.0,22.345774940413932,27.196044884723424
projection_n24_ns64_init2.npy,projection,24,64,2,calibration,0.6044334009754225,0.6049048985946986,0.0011045776463624098,-0.0004714976192761178,-0.42685783188610743,0.65,27.168675694428725,27.30190748658647
