source,file,task,n_ops,num_steps,n_steps,regime_end,frac_signal,floor,cos_legacy,cos_regime,conv_rate_legacy,conv_rate_regime,dlr_legacy,dlr_regime,settle_legacy
results/trajectories/ (no matching CSV),count_ones_n2_ns128_init4.npy,count_ones,2,128,127,14,0.11023622047244094,0.9699850904832441,-0.3351575733474438,0.18296601057238934,-0.015008515740457926,-0.24106671598316853,24.97910861021215,3.8667617337024276,9
results/trajectories/ (no matching CSV),count_ones_n2_ns64_init0.npy,count_ones,2,64,63,16,0.25396825396825395,1.0872579437972452,-0.3781654832785459,0.2528898270464876,-0.0653862957940873,-0.20135383182406888,13.201471320702119,3.8933085336677795,13
results/trajectories/ (no matching CSV),count_ones_n2_ns64_init1.npy,count_ones,2,64,63,16,0.25396825396825395,1.0500536931886857,-0.32000655687111607,0.32366714501518495,-0.0668017862350326,-0.2004447376613184,13.587874883835743,4.041310887741931,12
results/trajectories/ (no matching CSV),count_ones_n2_ns64_init2.npy,count_ones,2,64,63,16,0.25396825396825395,1.0500536931886857,-0.32000655687111607,0.32366714501518495,-0.0668017862350326,-0.2004447376613184,13.587874883835743,4.041310887741931,12
results/trajectories/ (no matching CSV),count_ones_n2_ns64_init3.npy,count_ones,2,64,63,16,0.25396825396825395,1.0500536931886857,-0.32000655687111607,0.32366714501518495,-0.0668017862350326,-0.2004447376613184,13.587874883835743,4.041310887741931,12
results/trajectories/ (no matching CSV),count_ones_n2_ns64_init4.npy,count_ones,2,64,63,16,0.25396825396825395,1.054079187143894,-0.3492489470435186,0.28106147127769376,-0.06717941193280401,-0.20450962653165966,13.470970853784632,3.9450561725698146,12
results/trajectories/ (no matching CSV),count_ones_n32_ns128_init0.npy,count_ones,32,128,127,19,0.14960629921259844,0.9969468832347009,-0.2576766222609617,0.16707340036833707,-0.02324003034090494,-0.1628964658118696,19.76269644787328,3.6606567755067294,15
results/trajectories/ (no matching CSV),count_ones_n32_ns128_init1.npy,count_ones,32,128,127,20,0.15748031496062992,1.0626471880223471,-0.3708706797863337,0.05147813541623117,-0.022384009952017284,-0.16199945220014322,19.439549921108963,3.8456879342560684,15
results/trajectories/ (no matching CSV),count_ones_n32_ns128_init2.npy,count_ones,32,128,127,22,0.1732283464566929,1.0686667712213216,-0.31677085702426605,0.09529122131960892,-0.022973053187782262,-0.14707968854950784,18.274429075150877,3.914378370482647,15
results/trajectories/ (no matching CSV),count_ones_n32_ns128_init3.npy,count_ones,32,128,127,20,0.15748031496062992,1.046122589088671,-0.34096552871636837,0.14492313716066257,-0.021365907036290762,-0.15910458602462138,19.588977266273773,3.867546199367165,14
results/trajectories/ (no matching CSV),count_ones_n32_ns128_init4.npy,count_ones,32,128,127,21,0.16535433070866143,1.0369611179139335,-0.32012048288991296,0.12272971612619461,-0.02469373136491032,-0.14068310691919905,18.935021712713116,3.890024688558946,16
results/trajectories/ (no matching CSV),count_ones_n32_ns64_init0.npy,count_ones,32,64,63,21,0.3333333333333333,1.0590475973442226,-0.3454894454652866,0.4352484681136751,-0.08041729037878007,-0.12188564830860234,12.224763448469638,4.621997775561176,16
results/trajectories/ (no matching CSV),count_ones_n32_ns64_init1.npy,count_ones,32,64,63,23,0.36507936507936506,1.0841119641006336,-0.3140296963162907,0.4823072900516589,-0.08458798699458349,-0.10273423038724722,12.0073905143288,4.897647977544299,18
results/trajectories/ (no matching CSV),count_ones_n32_ns64_init2.npy,count_ones,32,64,63,24,0.38095238095238093,1.0569466195023758,-0.2715814726860933,0.4738975136284024,-0.08384116281075475,-0.10282947898094243,11.948146925696653,5.062724848953028,17
results/trajectories/ (no matching CSV),count_ones_n32_ns64_init3.npy,count_ones,32,64,63,25,0.3968253968253968,1.0243625788165787,-0.2598964335445831,0.49951071039720873,-0.08574282805308163,-0.10047963743603501,11.809960650457292,5.185831870480785,18
results/trajectories/ (no matching CSV),count_ones_n32_ns64_init4.npy,count_ones,32,64,63,23,0.36507936507936506,1.0692791945023845,-0.31039471785030914,0.4731905021681269,-0.08287231386897141,-0.10418771690712007,11.933240551652856,4.865287952389171,18
results/trajectories/ (no matching CSV),count_ones_n48_ns128_init0.npy,count_ones,48,128,127,20,0.15748031496062992,0.915516767218215,-0.29101911538846686,0.16215991663297447,-0.024841924019143546,-0.1590769246809761,19.622948780983034,3.7668377218028075,14
results/trajectories/ (no matching CSV),count_ones_n48_ns128_init1.npy,count_ones,48,128,127,24,0.1889763779527559,1.0085402350946242,-0.3360941297715833,0.21008043581624178,-0.03091013791736926,-0.11711547859349183,17.67927279793882,4.03682689668633,17
results/trajectories/ (no matching CSV),count_ones_n48_ns128_init2.npy,count_ones,48,128,127,24,0.1889763779527559,1.1158888315891258,-0.3532117835114932,0.16177889483547936,-0.02456303968578814,-0.12421055100494921,19.16893661529237,4.518374716338768,16
results/trajectories/ (no matching CSV),count_ones_n48_ns128_init3.npy,count_ones,48,128,127,22,0.1732283464566929,1.1598934339390066,-0.3497216928583383,0.152092229112196,-0.025061751322529077,-0.132793462135317,16.875476400680846,3.6651844207849447,18
results/trajectories/ (no matching CSV),count_ones_n48_ns128_init4.npy,count_ones,48,128,127,23,0.18110236220472442,0.9724034832367202,-0.2689792999007492,0.13050265682671822,-0.025719750360102548,-0.13388432979017437,18.644148744748904,4.156219201629449,16
results/trajectories/ (no matching CSV),count_ones_n4_ns128_init0.npy,count_ones,4,128,127,16,0.12598425196850394,1.0242846666503038,-0.335466008724976,0.18580835598492879,-0.017735110917231026,-0.20995720707977614,24.017212108445957,4.05804338185824,12
results/trajectories/ (no matching CSV),count_ones_n4_ns128_init1.npy,count_ones,4,128,127,14,0.11023622047244094,1.093709667593865,-0.3501359711051731,0.14961793479878946,-0.016802102585813484,-0.22753592368324815,23.522052314626727,3.5847297840041037,11
results/trajectories/ (no matching CSV),count_ones_n4_ns128_init2.npy,count_ones,4,128,127,15,0.11811023622047244,1.0479030796167346,-0.34462240556729623,0.1874375354410711,-0.017017575828821997,-0.21754230702518573,24.849492714661107,4.062731860648929,11
results/trajectories/ (no matching CSV),count_ones_n4_ns128_init3.npy,count_ones,4,128,127,16,0.12598425196850394,1.0980852555740117,-0.3415620675970208,0.2781347404246868,-0.018240651610325898,-0.18906051504262972,23.410721734081303,4.035281562903175,12
results/trajectories/ (no matching CSV),count_ones_n4_ns128_init4.npy,count_ones,4,128,127,15,0.11811023622047244,1.0243931224860356,-0.31340217288401134,0.16200724724616491,-0.017521828442336497,-0.2113159247913199,23.857172276775874,3.8242614042289453,12
results/trajectories/ (no matching CSV),count_ones_n4_ns64_init0.npy,count_ones,4,64,63,16,0.25396825396825395,1.0233586817659397,-0.366545872247206,0.19092255447786177,-0.06467221219212903,-0.20123114943590878,13.159310903849066,3.865304882368426,13
results/trajectories/ (no matching CSV),count_ones_n4_ns64_init1.npy,count_ones,4,64,63,17,0.2698412698412698,1.1139902452022767,-0.3795785493204726,0.28513041080934365,-0.06652175226800833,-0.1887772890153995,13.31480265305945,4.1534243734189715,13
results/trajectories/ (no matching CSV),count_ones_n4_ns64_init2.npy,count_ones,4,64,63,16,0.25396825396825395,1.0413813715926898,-0.34840760731154147,0.2898162940549855,-0.06746641068971965,-0.2004453470248492,13.497525576468172,3.987470326012245,13
results/trajectories/ (no matching CSV),count_ones_n4_ns64_init3.npy,count_ones,4,64,63,16,0.25396825396825395,1.058301983958516,-0.3222686998673961,0.30800939089540447,-0.06643441650618018,-0.19468769716541737,13.640547325709903,4.021521631347266,13
results/trajectories/ (no matching CSV),count_ones_n4_ns64_init4.npy,count_ones,4,64,63,16,0.25396825396825395,1.1003312846523368,-0.2829741150411705,0.24898426544857494,-0.06719066126942463,-0.19226721147992473,13.324800789172537,3.931990711011996,13
results/trajectories/ (no matching CSV),count_ones_n64_ns128_init0.npy,count_ones,64,128,127,21,0.16535433070866143,1.0019562328966756,-0.2745431470148455,0.11320701291278505,-0.026581023491777045,-0.14615453916437013,18.327494434472516,3.6922350048146697,16
results/trajectories/ (no matching CSV),count_ones_n64_ns128_init1.npy,count_ones,64,128,127,24,0.1889763779527559,0.9635633940305319,-0.2767500912415954,0.13284394398279306,-0.027904275446591468,-0.1280278745501576,18.379566408471423,4.183553160992153,17
results/trajectories/ (no matching CSV),count_ones_n64_ns128_init2.npy,count_ones,64,128,127,25,0.1968503937007874,1.0573005932610469,-0.26698986797181395,0.1254396180342415,-0.02512168180175138,-0.1274084472091552,17.911354849123835,4.281552612107624,18
results/trajectories/ (no matching CSV),count_ones_n64_ns128_init3.npy,count_ones,64,128,127,28,0.2204724409448819,1.095076413665788,-0.23724696680442373,0.28444336077954113,-0.028423466829402666,-0.0899426398906478,16.992234253148684,4.544673589187072,19
results/trajectories/ (no matching CSV),count_ones_n64_ns128_init4.npy,count_ones,64,128,127,24,0.1889763779527559,1.0816828692942337,-0.34809631076433706,0.14130492747738374,-0.02592505376778979,-0.11817576266855961,17.984513414420643,4.1914646601737084,18
results/trajectories/ (no matching CSV),count_ones_n8_ns128_init0.npy,count_ones,8,128,127,17,0.13385826771653545,1.0224696328545353,-0.29376817725596194,0.1609574800054874,-0.02095756380320021,-0.1922757780283377,24.30215113877882,4.32120498001747,11
results/trajectories/ (no matching CSV),count_ones_n8_ns128_init1.npy,count_ones,8,128,127,16,0.12598425196850394,1.1065544954307998,-0.3115442484983805,0.11553721188881115,-0.018231478721013772,-0.19352606337350395,22.837984872482362,3.8772346320056594,12
results/trajectories/ (no matching CSV),count_ones_n8_ns128_init2.npy,count_ones,8,128,127,16,0.12598425196850394,1.0699465725330406,-0.30408523702508605,0.09537280681573738,-0.018629482256120627,-0.2032109638406256,22.119984510360712,3.6684559385387363,12
